test,check_num,timestamp_utc,elapsed_min,total_requests,instance_a_count,instance_b_count,instance_a_pct,instance_b_pct,error_count
test2_partial,1,2026-04-10T09:31:42,0.0,30,15,15,50.0,50.0,0
test2_partial,2,2026-04-10T09:33:42,2.0,30,12,18,40.0,60.0,0
test2_partial,3,2026-04-10T09:35:42,4.0,30,13,17,43.3,56.7,0
test2_partial,4,2026-04-10T09:37:42,6.0,30,18,12,60.0,40.0,0
test2_partial,5,2026-04-10T09:39:42,8.0,30,14,16,46.7,53.3,0
test2_partial,6,2026-04-10T09:41:42,10.0,30,0,30,0.0,100.0,0
test2_verify,1,2026-04-10T09:42:00,10.5,50,0,50,0.0,100.0,0
test3_cascade,1,2026-04-10T09:46:48,0.0,30,11,19,36.7,63.3,0
test3_cascade,2,2026-04-10T09:48:54,2.1,30,18,12,60.0,40.0,0
test3_cascade,3,2026-04-10T09:50:59,4.2,30,11,19,36.7,63.3,0
test3_cascade,4,2026-04-10T09:53:05,6.3,30,13,17,43.3,56.7,0
test3_cascade,5,2026-04-10T09:55:10,8.4,30,18,12,60.0,40.0,0
test3_cascade,6,2026-04-10T09:57:16,10.5,30,0,30,0.0,100.0,0
test3_cascade_b_unhealthy,7,2026-04-10T09:59:21,12.6,30,0,30,0.0,100.0,0
test3_cascade_b_unhealthy,8,2026-04-10T10:01:27,14.6,30,0,30,0.0,100.0,0
test3_cascade_b_unhealthy,9,2026-04-10T10:03:32,16.7,30,0,30,0.0,100.0,0
