run,poll,timestamp_utc,seconds_since_revoke,keyvault,storage,servicebus
1,1,2026-04-11T17:17:18Z,10,success,fail,success
2,2,2026-04-11T17:17:36Z,28,success,fail,success
3,3,2026-04-11T17:17:53Z,45,fail,fail,success
4,4,2026-04-11T17:18:10Z,62,fail,fail,success
5,5,2026-04-11T17:18:27Z,79,fail,fail,success
6,6,2026-04-11T17:18:43Z,95,fail,fail,success
7,7,2026-04-11T17:19:00Z,112,fail,fail,success
8,8,2026-04-11T17:19:16Z,128,fail,fail,success
9,9,2026-04-11T17:19:33Z,145,fail,fail,success
10,10,2026-04-11T17:19:50Z,162,fail,fail,success
11,11,2026-04-11T17:20:06Z,178,fail,fail,success
12,12,2026-04-11T17:20:23Z,195,fail,fail,success
13,13,2026-04-11T17:20:40Z,212,fail,fail,success
14,14,2026-04-11T17:20:56Z,228,fail,fail,success
15,15,2026-04-11T17:21:13Z,245,fail,fail,success
16,16,2026-04-11T17:21:30Z,262,fail,fail,success
17,17,2026-04-11T17:21:46Z,278,fail,fail,success
18,18,2026-04-11T17:22:03Z,295,fail,fail,success
19,19,2026-04-11T17:22:20Z,312,fail,fail,fail
